Year,NHGISST,NHGISCTY,STATENAM,NHGISNAM,ICPSRST,ICPSRCTY,area_base,NHGISST_1950,NHGISCTY_1950,STATENAM_1950,NHGISNAM_1950,ICPSRST_1950,ICPSRCTY_1950,area,weight,US_STATE
1900,210,1690,Kentucky,Metcalfe,51,1690,759931207.0523964,210,0570,Kentucky,Cumberland,51,570,5919101.836673466,0.00778899692727761,1
1900,210,1690,Kentucky,Metcalfe,51,1690,759931207.0523964,210,1690,Kentucky,Metcalfe,51,1690,754012105.215721,0.9922110030727224,1
1900,210,0870,Kentucky,Green,51,870,747737635.511527,210,0870,Kentucky,Green,51,870,747737635.5115268,1.0,1
1900,210,2070,Kentucky,Russell,51,2070,732965434.2936883,210,2070,Kentucky,Russell,51,2070,732965434.2935821,1.0,1
1900,210,2170,Kentucky,Taylor,51,2170,717277608.8709487,210,2170,Kentucky,Taylor,51,2170,717277608.8709513,1.0,1
1900,290,0010,Missouri,Adair,34,10,1474832136.1487036,290,0010,Missouri,Adair,34,10,1474832136.1486459,1.0,1
1900,290,1030,Missouri,Knox,34,1030,1312701320.5673044,290,1030,Missouri,Knox,34,1030,1312701320.5672586,1.0,1
1900,290,1150,Missouri,Linn,34,1150,1609353699.2377293,290,1150,Missouri,Linn,34,1150,1609353699.2376623,1.0,1
1900,290,1210,Missouri,Macon,34,1210,2104018410.0034428,290,1210,Missouri,Macon,34,1210,2104018410.0033784,1.0,1
1900,290,1710,Missouri,Putnam,34,1710,1345784225.7033494,290,1710,Missouri,Putnam,34,1710,1345784225.7032616,1.0,1
1900,290,1970,Missouri,Schuyler,34,1970,798124916.684967,290,1970,Missouri,Schuyler,34,1970,798124916.6849128,1.0,1
1900,290,1990,Missouri,Scotland,34,1990,1137775714.7093983,290,1990,Missouri,Scotland,34,1990,1137775714.7093484,1.0,1
1900,290,2110,Missouri,Sullivan,34,2110,1687394739.984341,290,2110,Missouri,Sullivan,34,2110,1687394739.9842894,1.0,1
1900,170,0010,Illinois,Adams,21,10,2257193465.3354187,170,0010,Illinois,Adams,21,10,2257193465.3354187,1.0,1
1900,170,0090,Illinois,Brown,21,90,795657497.626153,170,0090,Illinois,Brown,21,90,795657497.626103,1.0,1
1900,170,0670,Illinois,Hancock,21,670,2109235081.8406866,170,0670,Illinois,Hancock,21,670,2109235081.840621,1.0,1
1900,290,1110,Missouri,Lewis,34,1110,1322956345.8008354,290,1110,Missouri,Lewis,34,1110,1322956345.8008368,1.0,1
1900,290,1270,Missouri,Marion,34,1270,1150329035.7669055,290,1270,Missouri,Marion,34,1270,1150329035.7668512,1.0,1
1900,170,1490,Illinois,Pike,21,1490,2198596878.4009113,170,1490,Illinois,Pike,21,1490,2198596878.400835,1.0,1
1900,170,1690,Illinois,Schuyler,21,1690,1143037896.1511407,170,1690,Illinois,Schuyler,21,1690,1143037896.1510768,1.0,1
1900,180,0010,Indiana,Adams,22,10,880511565.5698141,180,0010,Indiana,Adams,22,10,880511565.5697668,1.0,1
1900,180,0030,Indiana,Allen,22,30,1709451097.168128,180,0030,Indiana,Allen,22,30,1709451097.1680632,1.0,1
1900,180,0750,Indiana,Jay,22,750,994767783.5052104,180,0750,Indiana,Jay,22,750,994767783.505162,1.0,1
1900,390,1070,Ohio,Mercer,24,1070,1226164519.7956069,390,1070,Ohio,Mercer,24,1070,1226164519.792696,1.0,1
1900,390,1610,Ohio,Van Wert,24,1610,1062995457.5483531,390,1610,Ohio,Van Wert,24,1610,1062995457.5479681,1.0,1
1900,180,1790,Indiana,Wells,22,1790,958936050.8969427,180,1790,Indiana,Wells,22,1790,958936050.8968931,1.0,1
1900,190,1370,Iowa,Montgomery,31,1370,1100817090.9246113,190,1370,Iowa,Montgomery,31,1370,1100817090.924575,1.0,1
1900,190,1730,Iowa,Taylor,31,1730,1384751990.8357923,190,1730,Iowa,Taylor,31,1730,1384751990.8357217,1.0,1
1900,280,0010,Mississippi,Adams,46,10,1262718223.2365391,280,0010,Mississippi,Adams,46,10,1262718223.2365394,1.0,1
1900,220,0290,Louisiana,Concordia,45,290,1935688147.7473302,220,0290,Louisiana,Concordia,45,290,1935688147.7473352,1.0,1
1900,280,0370,Mississippi,Franklin,46,370,1467925014.232337,280,0370,Mississippi,Franklin,46,370,1467925014.2322764,1.0,1
1900,280,0630,Mississippi,Jefferson,46,630,1365606919.1111462,280,0630,Mississippi,Jefferson,46,630,1365606919.1111522,1.0,1
1900,220,1070,Louisiana,Tensas,45,1070,1660675882.6248336,220,1070,Louisiana,Tensas,45,1070,1660675882.6248357,1.0,1
1900,280,1570,Mississippi,Wilkinson,46,1570,1781127378.2726316,280,1570,Mississippi,Wilkinson,46,1570,1781127378.2726414,1.0,1
1900,310,0010,Nebraska,Adams,35,10,1461334501.7217212,310,0010,Nebraska,Adams,35,10,1461334501.7216618,1.0,1
